DEPTH	B5.7A0.4M	B4.48A1.62M	M1.0A0.1B	A2.0M0.5N	N0.5M2.0A	M4.0A0.5B	N2.0M0.5A	N11.0M0.5A
M	OHMM	OHMM	OHMM	OHMM	OHMM	OHMM	OHMM	OHMM
11.4000	12.0008	12.5715	13.7125	11.3487	12.1614	13.8600	13.3594	13.0081
11.5000	11.9884	12.5894	13.8583	11.2669	11.9277	13.8267	13.3902	13.0088
11.6000	11.9235	12.5351	14.0588	11.2937	11.7192	13.8718	13.3438	12.9478
11.7000	11.8496	12.3918	14.5561	11.3656	11.4546	13.9044	13.3070	12.9001
11.8000	11.7976	12.2054	14.9039	11.5138	11.2202	13.9485	13.2540	12.8427
11.9000	11.7565	12.0681	14.8826	11.7555	11.0616	14.0182	13.1553	12.7477
12.0000	11.6731	11.9609	14.9855	12.0283	10.9228	14.0569	13.0224	12.6244
12.1000	11.4996	11.8549	15.4765	12.3563	10.7950	14.1024	12.7901	12.4178
12.2000	11.2381	11.7750	15.9954	12.8289	10.6658	14.1992	12.4232	12.1012
12.3000	10.9154	11.6984	16.4206	13.4781	10.4998	14.2668	11.9429	11.6984
12.4000	10.5467	11.6110	16.7103	14.0812	10.2174	14.1020	11.4898	11.3314
12.5000	10.2311	11.5332	16.8967	14.4074	9.8979	13.6814	11.1253	11.0431
12.6000	9.9601	11.4616	16.1397	14.4307	9.6163	13.0579	10.8162	10.8002
12.7000	9.7219	11.3750	15.0137	14.1547	9.3578	12.2620	10.5605	10.6016
12.8000	9.5272	11.2610	14.2133	13.6390	9.1394	11.3990	10.3526	10.4434
12.9000	9.3760	11.1483	13.3884	13.1937	9.0404	10.7017	10.1368	10.2789
13.0000	9.2600	11.0443	12.6703	12.9017	9.0383	10.1938	9.9524	10.1400
13.1000	9.1544	10.9281	12.3569	12.6915	9.1070	9.8129	9.7954	10.0214
13.2000	9.0460	10.8001	12.1822	12.5738	9.2297	9.5537	9.6441	9.9047
13.3000	8.9765	10.6793	12.0411	12.5523	9.3813	9.3896	9.5137	9.8037
13.4000	8.9291	10.5577	11.8607	12.5721	9.5416	9.2723	9.4087	9.7221
13.5000	8.8855	10.4229	11.6935	12.5705	9.6767	9.1813	9.3211	9.6514
13.6000	8.8436	10.2875	11.6257	12.5489	9.8001	9.1233	9.2434	9.5848
13.7000	8.7841	10.1633	11.4728	12.5465	9.9489	9.1135	9.1421	9.4953
13.8000	8.7216	10.0540	11.3495	12.5075	10.0621	9.1063	9.0576	9.4187
13.9000	8.6873	9.9739	11.3085	12.3812	10.1017	9.0513	9.0330	9.3942
14.0000	8.6950	9.9375	11.0343	12.2069	10.1082	8.9681	9.0507	9.4078
14.1000	8.7381	9.9407	10.5697	11.9905	10.1061	8.8802	9.0914	9.4397
14.2000	8.7587	9.9550	10.2282	11.7152	10.0968	8.8023	9.1248	9.4619
14.3000	8.7241	9.9576	10.1154	11.4443	10.0710	8.7841	9.1264	9.4568
14.4000	8.6741	9.9694	10.1470	11.2495	10.0666	8.8558	9.0922	9.4231
14.5000	8.6372	10.0070	10.0460	11.0899	10.0562	8.9416	9.0624	9.3946
14.6000	8.6485	10.0643	9.9191	10.8883	9.9941	8.9660	9.0921	9.4179
14.7000	8.6995	10.1304	9.7965	10.6290	9.9259	8.9328	9.1744	9.4855
14.8000	8.7435	10.1869	9.5824	10.4064	9.9384	8.9332	9.2190	9.5177
14.9000	8.7365	10.2040	9.5213	10.2300	10.0026	8.9966	9.2095	9.4988
15.0000	8.6784	10.1754	9.8204	10.0925	10.0738	9.0879	9.1712	9.4539
15.1000	8.6256	10.1398	10.1568	10.0157	10.1679	9.2016	9.1301	9.4075
15.2000	8.6378	10.1290	10.1903	9.9694	10.2950	9.3193	9.1248	9.3909
15.3000	8.6952	10.1308	10.0462	9.9040	10.4414	9.4039	9.1642	9.4111
15.4000	8.7362	10.1334	10.0128	9.8304	10.6261	9.4623	9.2096	9.4369
15.5000	8.7292	10.1288	10.1774	9.8231	10.9129	9.5568	9.1896	9.4076
15.6000	8.6671	10.1037	10.3450	9.9041	11.2756	9.6976	9.0999	9.3199
15.7000	8.6108	10.0606	10.5937	9.9855	11.6101	9.8076	9.0299	9.2511
15.8000	8.5984	10.0353	10.7263	10.0159	11.8945	9.8346	9.0197	9.2358
15.9000	8.6409	10.0526	10.4677	9.9909	12.1360	9.7801	9.0665	9.2720
16.0000	8.7368	10.0895	10.1302	9.8763	12.3195	9.6363	9.1870	9.3731
16.1000	8.8203	10.1248	9.8616	9.7208	12.4747	9.4490	9.3075	9.4757
16.2000	8.8576	10.1530	9.6775	9.6144	12.6623	9.2935	9.3690	9.5303
16.3000	8.8530	10.1779	9.6707	9.5577	12.8845	9.1951	9.3726	9.5356
16.4000	8.8216	10.2085	9.7212	9.5164	13.1144	9.1338	9.3587	9.5259
16.5000	8.8250	10.2707	9.7987	9.4830	13.3558	9.0825	9.3655	9.5342
16.6000	8.8693	10.3772	9.7423	9.4385	13.5995	9.0102	9.4167	9.5815
16.7000	8.9495	10.4945	9.6505	9.3796	13.8661	8.9130	9.4982	9.6558
16.8000	9.0215	10.6074	9.6607	9.3121	14.2257	8.8185	9.5741	9.7242
16.9000	9.0415	10.7189	9.7570	9.2963	14.7158	8.7681	9.5775	9.7299
17.0000	9.0186	10.8302	9.9814	9.3113	15.2604	8.7457	9.5453	9.7047
17.1000	9.0056	10.9683	10.2703	9.3069	15.7973	8.7147	9.5366	9.6995
17.2000	9.0512	11.1516	10.3178	9.2830	16.3301	8.6574	9.5782	9.7386
17.3000	9.1618	11.3875	10.1003	9.2321	16.8465	8.5556	9.6852	9.8367
17.4000	9.3053	11.6538	9.8938	9.1166	17.3355	8.4068	9.8577	9.9936
17.5000	9.4411	11.8938	9.7707	8.9684	17.9343	8.2686	10.0370	10.1572
17.6000	9.5665	12.0885	9.6467	8.8378	18.7156	8.1861	10.2106	10.3167
17.7000	9.7258	12.2514	9.5686	8.7345	19.6576	8.1535	10.4272	10.5147
17.8000	9.9473	12.4228	9.4336	8.6627	20.8224	8.1755	10.7339	10.7920
17.9000	10.2863	12.6541	9.2105	8.6402	22.3201	8.2887	11.1841	11.1926
18.0000	10.7939	12.9412	8.9624	8.7272	24.3385	8.5644	11.8300	11.7580
18.1000	11.4510	13.2358	8.7444	9.0037	26.7058	9.0821	12.5851	12.4099
18.2000	12.1669	13.5254	8.8306	9.4507	28.7770	9.7875	13.3708	13.0800
